Whether_to_accept_P1_offer_stage1,Reason_for_accepting_if_ACCEPT,Reason_for_rejecting_if_REJECT,Offer_to_P1_if_rejected_proceed_to_stage2,Trial,HumanP1toAIP2stage1
False,,"Rejecting 0 is optimal because accepting gives me 0 payoff, while by rejecting I can make a Stage 2 offer and secure a positive discounted payoff.",40,1,0
False,,"Rejecting 0 is optimal for me because accepting gives me 0 points for sure, while rejecting lets me make a counteroffer in Stage 2 and obtain a positive payoff.",40,2,0
False,,"Rejecting 0 is optimal for me because accepting gives me 0 points for sure, while rejecting lets me make a Stage 2 offer and secure a positive payoff.",40,3,0
False,,"Rejecting 0 is optimal for me because accepting gives me 0 points for sure, while rejecting lets me make a Stage 2 offer and obtain a positive payoff if accepted.",40,4,0
False,,"Rejecting 0 is optimal because accepting gives me 0 points for sure, while by rejecting I can make a Stage 2 offer and secure a positive discounted payoff. In Stage 2, P1 will compare accepting my offer with what they expect in Stage 3. Since in Stage 3 I would accept any offer giving me at least 1 point, P1 can guarantee themself at most 99 points there, worth 99 × 0.36 = 35.64. So in Stage 2 I only need to offer P1 60 points, giving them 60 × 0.6 = 36, which they should accept. That leaves me 40 points in Stage 2, worth 40 × 0.4 = 16, which is strictly better than 0.",60,5,0
False,,"Rejecting 0 is optimal for me because accepting gives me 0 points for sure, while rejecting lets me make the Stage 2 offer and secure a positive payoff.",40,6,0
False,,"Rejecting 0 is optimal because accepting gives me 0 payoff now, while rejecting lets me make a Stage 2 offer that can secure me a positive discounted payoff.",40,7,0
False,,"Rejecting 0 is optimal because accepting gives me 0 payoff, while by rejecting I can make a Stage 2 offer and secure a positive payoff if accepted.",40,8,0
False,,"Rejecting 0 is optimal for me because accepting gives me 0 points for sure, while rejecting lets me make a Stage 2 offer and secure a positive discounted payoff if accepted.",40,9,0
False,,"Rejecting 0 is optimal for me because accepting gives me 0 payoff, while by rejecting I can make a Stage 2 offer and secure a positive discounted payoff if accepted.",40,10,0
False,,"Rejecting because accepting 0 gives me a payoff of 0, while by rejecting I can make a Stage 2 offer and secure a positive payoff if accepted.",40,11,0
False,,"Rejecting 0 is optimal because accepting gives me 0 points for sure, while by rejecting I can make a Stage 2 offer and secure a positive payoff if accepted.",40,12,0
False,,"Rejecting 0 is optimal for me because accepting gives me 0 points for sure, while rejecting lets me make a Stage 2 offer and secure a positive payoff if accepted.",40,13,0
False,,"Rejecting 0 is optimal for me because accepting gives me 0 points for sure, while by rejecting I can make a Stage 2 offer and secure a positive payoff if accepted.",40,14,0
False,,"Rejecting 0 is optimal for me because accepting gives me 0 points for sure, while rejecting lets me make a Stage 2 offer that can give me a positive payoff.",40,15,0
False,,"Rejecting 0 is optimal for me because accepting gives me 0 points for sure, while rejecting lets me make a counteroffer in Stage 2 and obtain a positive payoff if accepted.",40,16,0
False,,"Rejecting 0 is optimal for me because accepting gives me 0 points for sure, while by moving to Stage 2 I can propose an allocation that gives me a positive payoff.",40,17,0
False,,"Rejecting because accepting 0 gives me zero payoff for sure, while rejecting lets me make the Stage 2 offer and secure a positive payoff.",40,18,0
False,,"Rejecting 0 is optimal for me because accepting gives me 0 for sure, while rejecting lets me make the Stage 2 offer and secure a positive payoff.",40,19,0
