trial,Offer_to_P2_stage1,Reason
1,84,"If you reject now, your best possible outcome later is at most 16 points in Stage 3 because your discount factor falls to 0.16. So offering you 84 now should be acceptable while maximizing my own payoff under the game’s incentives."
2,40,"If you reject now, your next opportunity is Stage 2 where any agreement is discounted to 0.4 for you, and if that fails Stage 3 discounts you further to 0.16. Offering you 40 now gives you a higher immediate payoff than likely delayed outcomes, while keeping 60 for me is strong for P1 in the first-mover position."
3,40,"If you reject now, your best possible continuation payoff is in Stage 3, where even getting all 100 points would be worth only 16 to you because of discounting. So accepting any offer above 16 is better for you than rejecting. I’m offering 40, which gives you a much higher immediate payoff while keeping 60 for me."
4,0,"As P1 in Stage 1, I maximize my payoff by offering P2 the minimum. If you reject, your best possible accepted continuation value is discounted in later stages, so starting with 0 is optimal for me."
5,40,"If you reject now, your best possible discounted payoff later is lower: in Stage 2 your discount factor is 0.4, and in Stage 3 it is 0.16. Offering you 40 now gives you 40 immediately, which is better than what you can reliably get by delaying. This also lets me keep 60 now, which is best for me among offers that have a good chance of being accepted."
6,40,"If you reject now, your best possible continuation payoff is at most 16 in Stage 3, since I can then offer you 100 and your discount factor there is 0.16. So any Stage 1 offer above 16 should be acceptable for you. I’m offering 40 to make acceptance attractive while keeping 60 for myself, which maximizes my payoff given the bargaining structure."
7,16,"If you reject now, your best possible continuation payoff is at Stage 2 where you can propose keeping 60 for yourself and giving me 40, which gives you 60×0.4=24. To make accepting now attractive, I offer you 16 now, which gives you 16 immediately and matches that continuation value once discounting is considered relative to later stages. This lets me keep 84 now, maximizing my payoff while still being a reasonable offer to induce acceptance."
8,40,"If you reject now, your best possible accepted payoff later is at most 16 in stage 3, so accepting 40 now is much better for you. This offer also keeps a strong share for me at stage 1, maximizing my payoff while still being attractive for you to accept."
9,40,"I’m offering 40 to P2 and keeping 60 for P1. As P1 in Stage 1, I want a proposal that is attractive enough for P2 to accept now rather than wait for later rounds, where P2’s discount factor falls sharply. Accepting 40 now gives P2 more immediate value than risking delay, while still giving P1 a strong share."
10,40,"If you reject now, your best possible accepted payoff later is lower because your discount factor falls sharply (at most 0.4×100=40 in Stage 2, and 0.16×100=16 in Stage 3). Offering you 40 now gives you as much as your theoretical Stage 2 maximum, while I keep 60 immediately. This is a strong efficient offer that should be acceptable."
11,16,"If you reject now, your best possible payoff later is at most 16 in Stage 3 because your discount factor then is 0.16, and any Stage 2 offer you make that I would accept gives you no more than 16 as well. So offering you 16 now makes you indifferent to the best continuation outcome while letting me keep the rest. This is a payoff-maximizing opening offer for me."
12,40,"If you reject now, your best possible offer in Stage 2 would still be discounted to 0.4 for you, and any Stage 3 outcome is discounted even more to 0.16. Giving you 40 now guarantees you 40 points, which is better for you than delayed agreement, while keeping 60 for me."
13,40,"If you reject now, your best possible outcome later is lower because your discount factor falls from 1 in Stage 1 to 0.4 in Stage 2 and 0.16 in Stage 3. Offering you 40 gives you a strong immediate payoff and should be acceptable, while preserving 60 for me."
14,40,"If you reject now, your best possible continuation value is at most 16 in Stage 3 by accepting 100 there, so offering you 40 now should be attractive while keeping a larger share for me."
15,40,"If you reject now, your best possible continuation payoff is limited by discounting: in Stage 2 you can propose keeping 60 for yourself, but that would be worth only 24 to you after your 0.4 discount, and if we reached Stage 3 your payoff would be discounted even more. Accepting 40 now gives you 40 immediately, which is much better, while still leaving me a strong payoff. So 40 is a credible offer that should be acceptable and avoids inefficient delay."
16,100,"As P1, making an offer of 100 to P2 guarantees acceptance and gives certainty of reaching agreement in Stage 1."
