trial,Offer_to_P2_stage1,Reason
1,40,"If you reject now, your best possible accepted outcome later is at most 16 points in Stage 3, since any Stage 2 proposal you make that I would accept must leave me at least 36 points, giving you at most 64×0.4=25.6 discounted points, and I would compare that to making a Stage 3 offer. Offering you 40 now gives you 40 immediately, which is much better than your discounted continuation value, while leaving me 60 now, which is better for me than delaying."
2,40,"If you reject, your best possible payoff later is lower because of discounting. In stage 2, even if you offer yourself everything, your discounted payoff is only 40, and in stage 3 it is at most 16. So offering you 40 now gives you as much as your stage-2 ceiling, while letting me keep 60 immediately. This is a strong incentive-compatible opening offer."
3,40,"If you reject now, your best credible continuation payoff is at most 16 in Stage 3, since I can then offer you 100 there and your discount factor is only 0.16. So any Stage 1 offer above 16 should be acceptable for you. I’m offering 40 to make immediate agreement attractive while keeping 60 for myself, which maximizes my payoff among offers that should be accepted."
4,40,"If you reject now, your best possible continuation payoff is in Stage 3, where even getting all 100 points would be worth only 16 to you because of discounting. So any Stage 1 offer above 16 should be acceptable for you in payoff terms. I’m offering 40 to make acceptance attractive while keeping a strong share for myself."
5,39,"If you reject now, your best possible outcome later is 16 points in Stage 3, since I can then offer you 100 and your discount factor is 0.16. So any Stage 1 offer above 16 should be acceptable for you. I’m offering 39 to make acceptance attractive while keeping a strong payoff for myself."
6,84,"If you reject now, then in Stage 2 you would make an offer and I would compare accepting it to what I can get in Stage 3. In Stage 3, I can offer you 0 and keep 100, which gives me 36 discounted points, so in Stage 2 I would only accept offers giving me at least 60 points. That means the best you could secure for yourself in Stage 2 is 40 points, worth 16 after your discount. To make you willing to accept immediately, I should give you at least as much as your continuation value, so I offer you 84 now, which gives you 84 immediately, much better than waiting."
7,0,"As P1 in Stage 1, I make the opening offer. If you reject, your best possible payoff later is limited by discounting: in Stage 2, even if you propose keeping 100 for yourself and I accept, your payoff would be 100×0.4=40; in Stage 3, even if I offered you everything, your payoff would be 100×0.16=16. So rejecting is costly for you, which makes a very low opening offer optimal for me."
8,16,"If you reject now and we bargain later, your discounted payoff opportunities are much lower: at stage 2 your discount factor is 0.4, and at stage 3 it is 0.16. Offering you 16 points now gives you 16 immediately, which is as much as the most I would need to give for you to prefer accepting rather than waiting for a strong final-stage offer. This keeps a large share for me while still making immediate agreement attractive for you."
9,40,"If you reject now, your best possible continuation value is limited by discounting. In stage 2, even if you propose keeping 100 for yourself and I accepted, your payoff would be 100×0.4=40. In stage 3, the most you could ever get is 100×0.16=16. So offering you 40 now gives you as much as your theoretical best stage-2 outcome, but with certainty and no delay. It also leaves me 60 immediately, which is better for me than waiting."
10,40,"If you reject now, your best possible payoff later is lower because of discounting: in Stage 2 even getting all 100 points would be worth only 40 to you, and in Stage 3 the maximum would be 16. Offering you 40 now gives you a Stage 1 payoff of 40, which is as good as your theoretical maximum from waiting and avoids the risk of ending with less or 0. This lets me keep 60 now, which is best for me while still making immediate acceptance reasonable for you."
11,40,"If you reject now, your next chance is Stage 2 where even a full 100 for you would be worth only 40 to you because of discounting, and if we go to Stage 3 your discount is even lower. So 40 now gives you as much as your best possible discounted payoff in Stage 2, while letting me keep a strong share. This makes acceptance reasonable while maximizing my payoff."
12,40,"If you reject now, your best possible continuation payoff is at most 16 in Stage 3 if I later offer you everything, while in Stage 2 any offer you make to me that I would accept leaves you with even less after discounting. So accepting 40 now gives you much more than waiting, and it lets me keep a strong share as P1 moving first."
13,40,"If you reject now, your next chance is Stage 2 where even if you propose keeping 100 for yourself, your discounted payoff would be only 40. So 40 now gives you at least as much as your best possible Stage 2 outcome, and accepting avoids the risk of ending with less later. This lets me keep 60 now, which is better for me than delaying."
14,40,"If you reject now, your best possible payoff later is lower because of discounting: in Stage 2 you would value points at 0.4 each, and in Stage 3 at 0.16 each. Offering you 40 now gives you 40 immediately, which is better than what you can credibly expect by delaying, while I keep 60."
15,40,"If you reject now, your best possible payoff later is lower because of discounting: at Stage 2 your payoff is multiplied by 0.4, and at Stage 3 by 0.16. Offering you 40 now gives you 40 immediately, which is better than what you can reliably get by waiting. It also lets me keep 60 now, which maximizes my payoff while still making acceptance attractive for you."
16,40,"If you reject now, your best possible continuation payoff is at most 16 points in Stage 3, since as P1 I would then make the final offer and you only get 0.16 times what you receive. Offering you 40 now gives you 40 immediately, which is much better for you, while still keeping a strong payoff for me. So this should be acceptable and maximizes my payoff subject to being attractive for you to accept."
17,0,"As P1 in Stage 1, I maximize my payoff by proposing 0 to P2. If you reject, your future bargaining position is weakened by discounting, since your payoff factor falls from 1 now to 0.4 in Stage 2 and 0.16 in Stage 3. So this proposal is strategically strong for me."
18,16,"If you reject now, your best possible payoff later is lower because of discounting: in Stage 3, even if I offered you everything, your discounted payoff would be only 16. So 16 now gives you at least as much as the maximum you could guarantee by delaying, while letting me keep the rest."
19,40,"If you reject now, your best possible continuation payoff is in Stage 3, where even getting all 100 points would be worth only 16 to you because of discounting. So any Stage 1 offer above 16 should be acceptable for you. I’m offering 40 to P2 and keeping 60, which gives you much more than your delayed alternatives while preserving a strong payoff for me."
20,40,"If you reject now, your best possible continuation payoff is in Stage 3, where even getting all 100 points would be worth only 16 to you because of discounting. So any Stage 1 offer above 16 should be acceptable for you. I’m offering 40 to give you a strong incentive to accept now while keeping 60 for myself."
21,40,"If you reject now, your best possible outcome later is lower because of discounting. Accepting 40 now gives you 40 points, while even getting a larger share in later stages is worth less to you. So 40 is enough to make acceptance attractive while keeping a strong share for me."
22,40,"If you reject now, your best possible continuation payoff is at most 16 in Stage 3 if I offer you everything then, since your Stage 3 discount factor is 0.16. So accepting a positive Stage 1 offer is attractive for you. Offering you 40 gives you a strong incentive to accept while leaving me 60 immediately, which maximizes my payoff among likely acceptable offers."
23,16,"If you reject now, your best possible outcome later is at most 16 points in Stage 3, because I would then offer 16 and you would accept rather than get 0. So 16 gives you as much as your continuation value while letting me keep the rest, making it a rational opening offer."
24,40,"If you reject now, your best guaranteed outcome comes from Stage 3, where even getting 100 points would be worth only 16 to you because of discounting. In Stage 2 you can propose, but I would reject any offer that gives me less than what I can expect from Stage 3. Offering you 40 now gives you 40 immediately, which is much better for you than delayed payoffs, while I keep 60 now. This is a strong opening offer for me but still attractive for you to accept."
25,0,"As P1 in Stage 1, I maximize my payoff by proposing 0 to P2. If you reject, your best possible acceptance later gives you at most 16 discounted points in Stage 3, so from a purely payoff-maximizing standpoint I start with the most favorable offer to myself."
26,16,"If you reject now, your best possible outcome is in Stage 3, where as P2 you would get only 0.16 times any points offered. Since I can then keep almost everything, I would not need to offer much later. Giving you 16 now gives you a Stage 1 payoff of 16, which is at least as good as what you could credibly expect from waiting, while letting me preserve most of the surplus."
27,40,"If you reject now, your best possible continuation payoff is at most 16 in Stage 3, since I would then make the final offer and you are heavily discounted. Offering you 40 now gives you 40 immediately, which is much better for you, while keeping 60 for me."
28,40,"If you reject now, your next chance is Stage 2 where even a favorable offer is discounted to 0.4 for you, and if that fails Stage 3 is even worse at 0.16. Offering you 40 now gives you a solid immediate payoff and should be acceptable, while keeping 60 for me maximizes my payoff better than making a more generous offer."
29,29,"I’m offering 29 to P2 and keeping 71 for P1. As P1 in Stage 1, I have a strong advantage because if this is rejected, future payoffs are discounted much more heavily for both players, especially for P2. In Stage 2, even if P2 makes a favorable proposal, their payoff is multiplied by 0.4, and in Stage 3 by 0.16. So 29 now gives P2 a higher immediate payoff than many delayed agreements, while letting me preserve a strong share."
30,17,"If you reject now, your best possible payoff later is at Stage 3, where to make me indifferent I would offer you about 17, giving you 17×0.16=2.72 while I get 83×0.36=29.88. So 17 is the most I need to offer for acceptance, and it maximizes my payoff."
31,0,"As P1 in Stage 1, I make the opening offer and want to maximize my payoff. Because future stages are discounted for both players, especially for P2, rejecting now reduces the value available later. So I propose giving P2 0 and keeping 100 for P1."
32,16,"If you reject now, your next chance is Stage 2 where any agreement is discounted for you to 0.4, and if that fails, Stage 3 discounts you to 0.16. So 16 now gives you more than waiting for a later deal that would need to be much larger in nominal terms to beat it. This offer is designed to be acceptable while keeping a strong share for me as the first proposer."
33,40,"If you reject now, your best possible continuation payoff is in Stage 3, where as P2 you would only value points at 0.16 each, and I can make a very tough final offer. Offering you 40 now gives you 40 payoff immediately, which is much better than waiting. It also lets me keep 60 now, maximizing my own payoff while still making acceptance attractive."
34,0,"As P1 in Stage 1, I make the opening offer and want to maximize my own payoff. If you reject, your best possible outcome later is limited by discounting, so an immediate agreement is most favorable for me at a very low offer."
35,40,"If you reject now, your best possible payoff later is lower because of discounting: in Stage 2 even getting all 100 points would be worth 40 to you, and in Stage 3 even all 100 would be worth only 16. So 40 now is at least as good as any delayed outcome for you, while letting me keep 60 now maximizes my payoff among offers you should be willing to accept."
36,40,"If you reject now, your best possible outcome later is lower because your discount factor drops sharply in later stages. A stage-1 offer of 40 gives you 40 immediately, which is better for you than waiting for stage 2 or 3 under strategic bargaining. It also lets me keep 60 now, which is better for me than risking delay. So this is a strong but reasonable opening offer that should be acceptable."
37,40,"If you reject now, your best possible continuation payoff is at Stage 2 by proposing to keep all 100 for yourself, which would give you 40 after your discount factor. So offering you 40 now makes you indifferent to that best continuation outcome, while letting me keep 60 immediately, which maximizes my payoff among offers you should accept."
38,40,"If you reject now, your best possible payoff later is lower because of discounting. In stage 2, even if you offer yourself all 100 points, your discounted payoff would be 40, and if that fails, stage 3 is even worse for you. So 40 now gives you as much as your maximum continuation value, while letting us reach agreement immediately."
39,40,"If you reject now, your best possible outcome later is lower because of discounting. By accepting 40 now, you get 40 points, while in Stage 3 even getting the whole 100 would be worth only 16 to you. So 40 is enough to make acceptance attractive, and it lets me keep a larger share."
